Decision Journal  v3,,,,,,,,,,,,
결과 보기 전에 기록.   진입 = 거래#에 1·2·3   |   비진입 = -,,,,,,,,,,,,
시각·방향은 비진입만 입력 (진입은 PD에서 자동 반영),,,,,,,,,,,,
"노란 칸(zone명확성 · zone) = 하루 1회, 10:10 시점 기준.   ★ 3 = 가장 나쁨",,,,,,,,,,,,
zone(10:10)은 수정 금지. 장중에 바뀌면 옆 칸에 따로 — 두 칸이 다른 것 자체가 데이터,,,,,,,,,"P1: 더블탑바텀
P2: 박스응집 (A: 두 zone 사이/ B: zone을 중앙)
P3: grind
,102915,-,S,,다시한번 더 박스,,,,P2-B,,,
260727,101300,1,L,2,정석적인 P1 으로서 z2 를 타겟,z1: 28270-28290 / z2: 28330-28340,,,P1,,,
,101540,-,S,,z1-3 왕복하다 z1 위로 뚫는가 싶더니 다시 밑으로 크게 돌아옴. 이는 곧 다시 z3 까지 가서 왕복 할거란 얘기? 하지만 뭔가 불안함이 들어서 패스,z3: 28230-28240,z3 확장: 28230-28250,,P2-A,,,
,101836,2,L,,"z3 하단에서 계속해서 유지되던 저점 (28235). 그곳을 뚫는것 처럼 보이지만 이내 바로 그 저점 위로 끌어 올려지는것 보니, 그 저점을 respect 하고 다시 올라갈듯",,,그 이후 엄청난 directional 트렌드 시작 = no 셋업,respect,,,
260728,101109,1,S,3,z1 위에서 응집후 2로 이동해 경계 부근만 겨우 터치후 다시 sr 로 회귀. 그 이후 고점이 점점 내려오며 grind -> z1 으로 회귀,z1: 27660-27680 / z2: 27720-27740 / z3: 27770-27790/ sr1: 27695,,,p3,,,
,101337,-,L,,저점 respect,,,,respect,,,
,101808,2,L,,저점 respect 후 상승,sr1 격상: z4: 27690-27710 / z5: 27610-27630,z1 변경: 27650-27670/ z2 변경: 27730-27750,fakeout,respect,,,
,101924,-,L,,"저점 조금씩 둥글게 말려 올라오며 위로 채널 이동, z1 쪽으로 갈듯",,,,,,,
,102648,3,S,,두 zone 사이에서 박스횡보 유지 전제,,,"fomc 전이라 엄청난 카오스 레벨의 날: 평소같으면 거래수를 줄였겠지만, 표본수집의 명목",p2-A,,,
260729,101657,1,L,3,z4 를 저점 포인트로 브레이크 잡으며 HL 갱신. 다시 z1 쪽으로 향하거나 적어도 27680 고점은 다시 넘어갈것. channel 형,"z1: 27705-27725, z2: 27750-27770, z3: 27820-27840, z4: 27640-27660",,,"p1 비슷하지만 바텀이 두개가 아니고, 브레이크 포인트로 zone 밖이 아니라 zone 그자체",,,
,101932,-,L,,"이전과 같은 논리, 하지만 이번에는 zone4 경계 찍고 rejection 으로 튀어 올랐으니 이번에는 진짜 갈듯? 하지만 이전 거래와 같은 논리로 같은 자리에서 들어가는건 피하자",,,,,,,
,102124,-,S,,"지금 계속 뚫지못하는 27680-27690 고점을 zone5 이라고 하고, z4-5 사이를 계속 횡보 한다는 전제라면 여기 고점에서 숏으로 z4 타겟",z5: 27680-27690,z4 축소: 27640-27650,10:24 이후로 큰 directional 트렌드 시작 = 노 셋업,p2-A,,,
260730,101157,-,S,3,두 zone 사이 박스횡보. 하지만 아직?,"z1: 28050-28070, z2: 28100-28120, z3: 28150-28170",,,p2-A,,,
,101325,1,S,,"두 zone 사이 왔다갔다 하다가 위로 뚫는듯 했지만 이내 다시 두 zone 사이 공간으로 내려옴. 그 이후 위로 더 가보려고 했지만 zone 경계만 치고 빠르게 다시 내려오는 모습을 보면, 다시 밑의 zone 으로 갈듯",,,,p2-A,,,
,102113,2,S,,이번에는 z2 를 가운데에 두고 크게 위아래로 치는 박스횡보 라고 전제. 고점에서 중앙으로 타겟하며 엔트리,,,,p2-B,,,
,102345,-,S,,HOD 넘지 못하고 다시 내려갈듯,,,,respect,,,
260731,101436,-,L,3,28110 저점을 respect 한다면 위로 갈 확률이 높다,"z1: 28120-28140, sr1: 28170",,,respect,,,
,101821,1,S,,z1 을 중심으로 위아래로 쳐대는 패턴이라는 전제,,,,p2-B,,,
,102249,-,S,,한번에 z3 까지 도달 하기 보다는 한번 내려왔다가 sr2 에 걸려있다가 갈거 같음,sr1 격상 -> z2: 28160-28180 / sr2: 28230 / z3: 28260-28280,,,,,,
,102505,2,L,,"sr2 에서 z2 까지 쭉 내려옴. 여기는 뭔가 오래 머물곳은 아닌거 같고, 이전의 트렌드가 잠시 쉰거고 다시 재개되면서 sr2 올라갈지, 아니면 하강 트렌드를 이어서 z1 까지 갈지의 갈림길 이었는데, 다시 위로 튀어오르는거 보고 올라갈거라 예상",,,,,,,
,102648,-,L,,z2 이 저점을 막고있는듯 보이니 그 저점이 respect 된다면 위로 갈것,,,,respect,,,
260803,101310,1,,3,z2-3 사이를 왕복,"z1: 28520-28540, z2: 28570-28590, z3: 28610-28630",,,p2-A,,,
,102349,2,,,HOD 갱신후 더블탑,,,,p1,,,
,103139,3,,,한번더 z4 위로 뚫고 더블탑,z4: 28650-28670,,타임 윈도우 지났지만 막판에 응집 하는거 같아 보여서 좀 기다렸다가 1030 넘어서 거래함,p1,,,
260804,101537,1,,1,더블탑,z1: 29480-29500/ z2: 29520-29530,,,p1,,,
,102313,2,,,더블 바텀,,,,p1,,,
,102658,3,,,HOD respect,,,,respect,,,
260805,101306,1,,2,"두 zone 사이 응집, 한쪽 끝에서 엔트리","z1: 29930-29950, z2: 29980-29990, z3: 30010-30030, z4: 30050-30060",,,p2-A,,,
,101624,2,,,두 zone 사이에서 이동할때 다음 zone 을 타겟,,,"위아래로 엄쳥 쳐대서 pt 와 sl 가까이 까지 이리저리 왔다갔다. 차라리 한쪽 끝 극단에서 들어갔어야 했는데, 중간이 아니라",p2-A,,,
,102113,3,,,z1 더블바텀 찍고  v반등 위로 이동 z2 까지,,,더블탑/바텀은 사실 zone 밖으로 넘어가서 하는건데 이거는 zone 안에서 혹은 zone 찍자마자 그 경계 위에서 일어난 움직임 이긴 함. 하지만 z1가 아니라 z2-3 응집을 밑으로 벗어난 후 일어난 더블바텀 이라고 본다면 가능,p1?,,,
260806,101639,*,,1,"zone 2 를 중앙에 두고 위아래로 응집, 고점에서 저점으로 엔트리","z1:29490-29500, z2: 29530-29550, z3:29600-29610",,원래 eval acc 으로 거래하려고 했는데 실수로 sim acc 으로 되어있는지 모르고 거래. 일단 노란날 수집 뿐 아니라 live market 에서의 sim 슬리피지 및 딜레이 표본 까지 수집한다는 의미로 거래수에서 제외하고 진행,p2-B,Live sim,,
,101946,1,,,더블탑 형성후 다시 z2로 내려올거라 예상,z3: 29630-29650,,reacceptance 로 z3 형성,p1,Live eval,,
,102458,2,,,z3 밑으로 뚫더니 다시 이전 저점 부근 29630 에서 말려 올라가는걸 보니 다시 z3로 돌아가 응집할듯,,,,,Live eval,,
,102923,3,,,z2-4 왔다갔다 하다가 z4 하단 까지 크게 밀었다 다시 올라가는걸 보니 다시 z2 까지 갈듯,z4: 29570-29580,,,p2-A,Live eval,,
260807,101304,1,,2,z1 밑으로 크게 밀렸다가 다시 강하게 올라오는 모습. z1 으로의 복귀?,"z1: 29610-29620, z2: 29650-29680, z3: 29700-29720",,,,Playback,,
,101550,2,,,z4-z1 사이 왕복,z4: 29570-29580,,,p2-A,Playback,,
,102800,3,,,z5 위에서 버티다가 위로갈지 아래로 갈지 정하는 순간 위로 튀어오르는거 보니 위로 갈듯. z6 까지,"z5: 29740-29750, z6: 29770-29790",,,,Playback,,
260810,101641,1,,3,z5 상단을 계속 뚫지 못하고 막히다가 크게 rejection 까지 겪음. 밑에 z4 뿐 아니라 sr1 까지 있으니 밑으로 내려가서 적어도 sr1 까지는 도달할것,"z1: 29720-29730, z2: 29750-29770, z3: 29790-29810, z4: 29830-29840, z5: 29880-29890, sr1: 29860 ",,오늘은 초록날 인데도 V반등이 자주 나오고 zone 간 이동이 심함. 거기다 평소보다 volatility 는 적어서 zone 사이 공간이 좁음. 그래서 가격이 움직일 자리가 좁아서 계속 zone 사이만 빠르고 짧게 이동하는 느낌 이었음. 그래서 셋업 기회가 한번 밖에 안나옴  ,,Live eval,,
260811,101455,1,,3,z2 에서 오래 머물다가 크게 z1 쪽으로 튀었으니 z1 으로 이동할것,"z1: 29730-29750, z2: 29770-29790",,,,Live eval,,
,101856,2,,,z1 찍고 날카롭게 다시 위로 올라오는걸 보니 V반등으로 z2로 돌아갈듯,,,z1-2 왕복하는걸 확인 한 후 했어도 늦지 않았을텐데 조금 일렀다. 이전 거래와의 텀도 짧음. 엄청 오래 와리가리 하다가 크게 PT 쪽으로 갔다가 SL 터치. 앞으로 PT 나 SL 쪽으로 한번 크게 치우친 다음에는 breakeven 해야하나? ,,Live eval,,
,102603,3,,,z1-2 왕복,,,이번에도 sl 쪽으로 크게 갔다가 다시 pt 쪽으로 갔다가 다시 sl 터치. 오늘 시장 상태가 좀 이상한가?,p2-A,Live eval,,
260812,101344,1,,1,오늘 계속해서 z1-2 왕복. z2 위로 뚫었다가 다시 내려와서 밑으로 까지 크게 뚫으니 z1 으로 갈듯 ,z1: 29855-29875/ z2: 29900-29920,,,p2-A,Live eval,,
,102215,2,,,z2 에서 머물다가 z1 찍고 다시 z2 로 돌아가는 움직임,,,,p2-A,Live eval,,
,102754,3,,,z2 위로 뚫었다가 (이전 오프닝 세션에서 튕겨져 나왔던) sr1 도달 후 미끄러 지며 밀려 내려옴. 다시 z2로 갈듯,sr1: 29940,,,grind,Live eval,,
,103544,시간외,,,z1-2 왕복하다가 z1 찍고 다시 위로 튕겨 오르니 z2 으로 돌아갈듯,,,,p2-A,Live sim,,
,104045,시간외,,,z2 끼고 더블탑 형성. 크게 밑으로 가며 z1 까지 복귀할거라 생각,,,"오늘은 노란날이라 역방향 거래를 했는데, 대부분 거래가 내가 정방향 예상한대로 흘러감.",p1 (zone),Live sim,,
260813,101312,1,,2,"z2 위로 올랐다가 더 가지 못하고 계속 정체됨. z1 으로 돌아올것. (zone 들이 20pt 씩 간격을 두고 일정하게 나타나는것으로 보임. 그래서 z2 위에 zone 이 생성된다면 30210-30220 일것이고. 그 밑단을 이미 터치 했고 위로 더 가지 못했기 때문에 V반등으로 다시 돌아올것이라 예측,","z1: 30150-30160, z2: 30180-30190 , (포지션중 추가: z3 30210-30220)",,엄청나게 오래걸림. 사실상 거래창을 전체를 다 씀. 위아래로 엄청 쳐서 pt 와 sl 둘다 아슬아슬. 사실상 운빨,grind,Live eval,,
260814,101228,1,,2,z1-2 왕복. 반대 zone 타겟 으로 출발하는거 보고 엔트리,"z1: 30210-30230, z2: 30250-30270",,,p2-A,Playback,,
,103311,시간외,,,z3 가운데에 두고 위아래로 치는 그림. 저점에서 롱 엔트리,z3: 30140-30150,,,p2-B,Playback,,
,103633,시간외,,,z3 위로 벗어나 z2 로 복귀. 둥글게 LH 브레이크,,,또 SL 직전까지 갔다가 브라켓이 넓어서 안닿고 결국 pt 로. 이정도면 운빨?,,Playback,,
,104959,시간외,,,z3 와 z2 왕복. z3 윗경계에서 반대로 롱,,,,p2-A,Playback,,
260817,101155,1,Reverse,1,z2 에서 z1 으로 다시 내려오는 움직임,"z1: 30170-30190, z2: 30210-30220, z3: 30240-30250",,,,Playback,,
,102128,2,Reverse,,계속해서 reject 당하는 저점인 z1 하단 부근에서 롱 엔트리,,,위아래로 왔다갔다 again,respect,Playback,,
,103157,시간외,,,z1 위로 벗어나서 z2 로 이동,,z1: 30160-30170,홀드시간 초과,,Playback,10:37,z1 터치후 반등
,105133,시간외,,,z2 위로 벗어나 z3 로 이동,,"z1변경: 30160-30170, z2확장: 30200-30220",,,Playback,,
260818,101525,1,Reverse,1,z4 밑에서 더블바텀 후 상승. z3 까지 갈듯,"z1: 29750-29770, z2: 29710-29730, z3: 29670-29690, z4: 29630-29650",,,p1,Live eval,,
,102234,2,Reverse,,z5-4 왕복. z5 찍었으니 다시 4로,z5: 29590-29610,,,p2-A,Live eval,,
,102810,3,Reverse,,z3 에서 계속 rejection 나니까 그 고점이 respect 된다면 숏,,,,respect,Live eval,,
,103518,시간외,Reverse,,z3 에서 오래 머무르다 밑으로 크게 빠짐 z4로 밑으로 크게 갈것,,,"엔트리가 좀 늦었다. z4-5 사이에서 들어가고 싶었는데, 갑자기 위로 가격이 튀어서 한 10pt 는 손해본듯",,Live eval,10:38,time out
,104448,시간외,Reverse,,z3 부터 4 까지 밑으로 뚫고 강한 트렌드 인데 4와5 사이에서 잠시 머물며 고민함. 강한 트렌드가 이어진다는 전제로 z5 까지 도달할것,,,,grind,Live eval,10:48,time out
260819,101917,1,Reverse,2,z1 에서 z3 까지 크게 이동 후 빠르게 V자 반등으로 내려오는걸 보면 z2 까지 이동할듯,"z1: 29380-29390, z2:29410-29420, sr1: 29440 , z3: 29460-29480",,,,Playback,,
,102345,2,Reverse,,z3 부근에서 z1 까지 빠르게 밀려 내려온 후 z1 위에서 계속 해서 reject 당하니 다시 z3 향해 이동할듯,,,,respect,Playback,,
,103816,시간외,Reverse,,z4 위로 뻗어 나간 후 조금씩 위로 밀리며 HL 기록. 위에 sr2 도 있으니 그쪽까지는 위로 더 이동할듯,"z4: 29500-29520, sr2: 29560",,,grind,Playback,,
,104222,시간외,Reverse,,sr2 위에서 버티다 더 위로 가지 못하고 크게 밑으로 빠지니 다시 z4 로 복귀할듯,,,,,Playback,,
,104905,시간외,,,z5 에서 오래 머물다가 드디어 다시한번 밑으로 뚫고 나와 z4 로 복귀 시도,sr2 격상 -> z5: 29550-29570,,,,Playback,,
260820,101157,1,Reverse,1,이전까지 zone 들 사이를 왔다갔다 하다가 z3 에서 머물다 크게 밑으로 빠진걸 보면 (심지어 2번째 시도) z2 로 이동할듯.,"z1: 29320-29330, z2: 29350-29360, z3: 29380-29400",,,,Live eval,,
,101556,2,Reverse,,z3 에서 z2 까지 뚫고 강하게 밑으로 계속 가는걸 보면 z1 까지는 갈듯,,,,,Live eval,,
,102310,3,Reverse,,z1 에서 z3 까지 스파이크로 올라온후 z2-3 왕복.z3 안쪽 계속 못미는 고점 29390 정도 구간이라고 보고 거기에서 z2 로 갈거라 생각 ,,,,respect,Live eval,,
,102752,4,Reverse,,한번더 z3 에서부터 z2 까지 밑으로 뚫고 강하게 하강 트렌드. z1 까지 도달 예상,,,,,Live eval,,
,103205,시간외,Reverse,,z2 에서 한참 머물다 위로 크게 튐. 다시 z3 으로 이동,,,엔트리 후 살짝 차트 렉. PT 에 아슬아슬 하게 못닿고 SL. SL 도 1pt 도 안되는 차이로 넘어가고 그 이후 pt 쪽으로 크게 이동,,Live eval,,
,103713,시간외,Reverse,,z3 에서 z1 까지 단숨에 갔다가 다시 제자리로 돌아옴. 다시 z2 까지 혹은 1까지 왕복?,,,갑자기 변동성 늘어나며 스파이크,,Live eval,,
,103834,시간외,Reverse,,z3 찍고 다시 밑으로 크게 내려오니. 다시 z2 로 내려가며 왕복,,,이전 거래와 텀 짧지만 확신,,Live eval,,
,104209,시간외,Reverse,,z3 위로 올라와서 29415 고점 레벨을 크게 위로 뚫지 못하고 계속 LH 기록 밑으로 미끄러져 내리니 다시 z3 으로 돌아갈듯,z4: 29420-29430,,,grind,Live eval,,
,104623,시간외,Reverse,,z4 에서 머물다 밑으로 크게 내려오니 다시 z3 으로 복귀,,,,grind,Live eval,,
,105024,시간외,Reverse,,z3 밑에서 응집 하다가 밑에서 버티던 저점이 뚫림. 오늘 zone 간 이동세가 강하니 z2 까지 이동할것,,,,grind,Live eval,,
260821,101147,1,,2,z2 를 가운데에 두고 위아래로 치는 그림. 양극단에서 반대로 타겟,"z1: 29260-29280, z2: 29310-29320",,,p2-B,Playback,,
,101659,2,,,z1 밑에서 머무르다가 더블바텀 후 상승,,,,p1,Playback,,
,102225,3,,,z1 밑으로 크게 나갔다가 응집 (z3) 후 다시 올라감. 둥글게 브레이크 밟으며 아치형성,z3: 29220-29240,,,,Playback,,
,102731,4,,,z1 위로 뻗어 나가듯 했지만 이전 reject 있던 구간에서 다시 한번 꺾이고 비비는걸 보니 z2 까지 가기 보단 다시 밑으로 갈 확률이 높다고 판단.,,z2확장: 29300-29320,,grind,Playback,,
,103100,시간외,,,z1-2 왕복. 극단에서 반대로 타겟,,,1틱 차이로 pt 못닿음. 갑자기 카오스 증가,p2-A,Playback,,
,103940,시간외,,,z1-2 왕복인데 z1 떠나서 2에 아직 도달 못했는데 중간에 멈춰서 고민하는거 보면 2까지 가긴 해야될듯,,,,p2-A,Playback,,
,104358,시간외,,,계속 거절당하는 고점 (z2구간) 을 respect 한다면 다시 내려올것,,,,respect,Playback,,time-out
,105443,시간외,,,z2 에서 오랫동안 머무르다가 크게 내려옴. 다시 z1 로 하강?,,,오늘은 뭔가 초록날인데 초록날 같지 않았음.. 미터기가 고장난걸까?,,Playback,,
260824,101451,1,,2,z1 위로 크게 올라서 z2 로 이동?,"z1: 28960-28980, z2: 29010-29030",,sl-pt 아슬아슬,,Live eval,,
,102441,2,,,"z2 위에서 부터 밑까지 크게 이동, z1 으로 타겟",,z2수정: z29000-29020,pt 아슬아슬,,Live eval,,
,103644,시간외,,,z3 하단 경계를 위로 넘지 못하는 모습. 밑에 sr1 도 있으니 내려올듯,"z3: 29080 - 29100, sr1: 29055",,,respect,Live eval,,
,104822,시간외,,,z3 위의 고점에서 다시한번 reject 후 더블탑 = 밑으로 이동,,z3수정: 29070-29090,pt 아슬아슬,p1,Live eval,,time-out
260825,102717,-,,,실수로 ATM 설정 안된 상태로 엔트리 해서 그냥 바로 클로즈,-,-,-,-,-,,
,103233,시간외,Reverse,1,z1 에서 위로 올라서 z2 로 이동,"z1: 29220-29230, z2: 29260-29280",,기다리면 끝까지 갔을텐데 z1 상단 경계에서 너무 오래 비비면서 못 내려가서 나옴. nq 실전 첫 거래라 좀 긴장해서 그랬던듯. 결국 z1 밑까지 뚫고 나가는거 보고 프로세스를 믿고 중간에 무서워서 나가지 말자고 다짐함. 그리고 오늘 시작이 시간외 부터인데 technical issue 때문에 30분까지 NT 렉걸려서 리부팅 하는데 오래 걸림. 그리고 사실상 시간외를 거래창 시간과 비슷하다고 가정하고 거래함. 그리고 실제로 오늘 확고한 역방향 날이라는 느낌도 있었음. 보통 한쪽으로 결정되면 그날은 시간외 까지도 쭉 같이 가니까,,live eval,,
,103920,시간외,Reverse,,z1 을 떠나서 z2로 타겟,,,정방향 이라면 정말 끝까지 기다리다가 z2 반대 경계에 타겟을 두고 들어가게 되는 late entry 였겠지만 역방향 이기에 오히려 더 좋음. 역방향 일때 일부러 끝까지 기다렸다가 정방향이라면 late entry 라고 생각될 정도로 천천히 들어가는것도 괜찮은듯. 항상 내가 -15 까지 갔다가 돌아오는 경우가 흔하기 때문에 오히려 그걸 기다렸다가 들어가는 모양새가 됨,,live eval,,
,105045,시간외,Reverse,,z1 밑으로 뚫고 z3과 중간에서 오래 버티다가 z3 쪽으로 조금씩 기울면서 이동 시작. z3 까지 도달 할것을 예상,z3: 29190-29200,,,,live eval,,
260826,101351,1,Reverse,2,z2 밑으로 나가서 더블바텀 = 상승예상,"z1: 29290-29310, z2: 29250-29270, z3: 29210-29230",,z3 아슬아슬 하고 다시 돌아가서 재량청산 (하지만 결국에는 SL 전에 pt 에 도달. 하지만 홀딩시간 5분 이상 이었을것),,live eval,,
,102604,2,Reverse,,z3 밑에서 버티다가 밑으로 크게 빠짐 = 하강 트렌드 시작,,,오늘은 directional 힘이 강해서 내 되돌림 역방향이 잘 안먹히는듯한 느낌,,live eval,,
,103027,시간외,Reverse,,sr1 까지 도달 후 V 반등. 멀리 확장 했으니 z3 로 다시 복귀예상,sr1: 29160/ z4: 29170-29180,z4 확장: 29170-29190,z4 를 좁게봐서.. 확장된 상태로 봤으면 거기에선 안들어갔을것. 아무튼 홀드가 거의 5분 정도로 길어져서 재량청산. 청산 하길 아주 잘함. 바로 반대로 쭉 뻗음. 즉 정방향 예측이 맞았던것,,live eval,,
,105048,시간외,Reverse,,z3 에서 오래 응집하다가 위로 크게 뻗어서 z2 까지 도달. 원래 z2-3 사이에서 상승중에 잡고 싶었지만 레이트 엔트리 라는 설정.,,,가격이 아주 불리해졌다가 엔트리 레벨로 돌아왓는데 시간이 3분이상이라 재량청산 ,,live eval,,
260827,101255,1,Reverse,,z2 떠나서 z3 으로 이동,"z1: 29510-29520, z2: 29540-29560, z3: 29580-29590",,타이머 빨강 이어서 일찍 청산,,live eval,,
,101721,2,Reverse,,z3 떠나서 z2로 이동,,,원래 10:17:05 정도에 들어가고 싶었는데 잠깐 한눈팔아서 엔트리 놓치는 바람에 위로 팍 튄 후에 들어감. 그래서 원래 목표했던 것 보다 pt 가 많이 올라가서 기존 타겟 정도로 보이는 곳에서 익절하며 재량청산,,live eval,,
,102331,3,Reverse,,z3 위로 뚫고 나가는듯. 다음 zone 으로 이동?,,,,,live eval,,
,102849,4,Reverse,,z3 위로 크게 뚫었다가 다시 V 자로 꺾이며 z3 으로 돌아오는중,,,,,live eval,,
,103316,시간외,Reverse,,z3 밑으로 뚫어서 더블바텀 형성. 다시 z3 위로 향할듯,,,,p1,live eval,,
,103721,시간외,Reverse,,다시한번 z3 위로 뚫어서 다음zone 으로 이동할듯,,z3 확장: 29580-29600,이 거래 이후에 z3 확장을 눈치챔. 이건 내가 눈치 채는게 늦었음. 알았더라면 안들어갔을 거래가 몇개 있는듯. zone 을 아예 벗어나는걸 트리거로 하고있는데 확장 이전에는 벗어났다고 생각했던 움직임이 사실 zone 안에 있었음,,live eval,,
,104904,시간외,Reverse,,z2 를 위로 크게 뚫고가서 z3 으로 도달,,,fat finger. 실수로 두번 눌러서 두배로 들어감.,,live eval,,
,105354,시간외,Reverse,,z3 크게 밑으로 뚫어서 거의 z2 까지 도달함. z2 안으로 깊숙히 까지 이동할것,,,오늘도 directional 이 강해서 되돌림이 안먹힌 경우가 많은듯한 날. 이미 양쪽 zone 찍고 애매해서 be 로 나옴,,live eval,,
